all_eta_bins : [0.0, 0.2, 0.4, 0.6, 0.8, 1.0, 1.25, 1.5, 1.75, 2.0, 2.1, 2.2, 2.3, 2.4]
all_pT_bins  : [5.0, 7.0, 10.0, 14.0, 20.0, 27.0, 38.0, 50.0, 75.0, 100.0, 150.0, 200.0, 1000]

sample , bins_found, bins_wanted, muons_per_reg, 	eta_range,		pT_range,		q*d0_bins
DY+Jpsi, 10, 10, 14717     , 	[0.4, 0.6],		[75.0, 100.0],		[-0.014436623081564903, -0.00158315512817353, -0.001024560071527958, -0.0006245989934541285, -0.00028960825875401497, 2.2539961719303392e-05, 0.0003342626732774079, 0.0006664252141490579, 0.0010611774632707238, 0.0016371237579733133, 0.011442111805081367]
DY     , 10, 10, 6504      , 	[0.4, 0.6],		[100.0, 150.0],		[-0.010209574364125729, -0.0015230829594656825, -0.000981517368927598, -0.0005896543152630329, -0.00026656364207156, 3.601364005589858e-05, 0.000337595003657043, 0.0006598727777600288, 0.0010535512119531631, 0.0016308517660945654, 0.01086118072271347]
Jpsi   , 2 , 10, 0         , 	[0.4, 0.6],		[100.0, 150.0],		[-0.0007466655806638374, -0.0007466655806638299, -0.0007466655806638299]
DY+Jpsi, 10, 10, 6504      , 	[0.4, 0.6],		[100.0, 150.0],		[-0.010209574364125729, -0.0015230829594656825, -0.000981517368927598, -0.0005897529190406203, -0.0002665934443939477, 3.601364005589858e-05, 0.000337595003657043, 0.0006598727777600288, 0.0010535512119531631, 0.0016308517660945654, 0.01086118072271347]
DY     , 6 , 10, 2151      , 	[0.4, 0.6],		[150.0, 200.0],		[-0.008816891349852085, -0.0011560514103621244, -0.0004821093170903623, 3.2256673875963315e-05, 0.0005479767569340765, 0.0012056385166943073, 0.009917114861309528]
Jpsi   , -1, 10, 0         , 	[0.4, 0.6],		[150.0, 200.0],		[None, None]
DY+Jpsi, 6 , 10, 2151      , 	[0.4, 0.6],		[150.0, 200.0],		[-0.008816891349852085, -0.0011560514103621244, -0.0004821093170903623, 3.2256673875963315e-05, 0.0005479767569340765, 0.0012056385166943073, 0.009917114861309528]
DY     , 3 , 10, 2190      , 	[0.4, 0.6],		[200.0, 1000],		[-0.004618793725967407, -0.00042099499842152, 0.0005455825594253838, 0.004520893562585115]
Jpsi   , -1, 10, 0         , 	[0.4, 0.6],		[200.0, 1000],		[None, None]
DY+Jpsi, 3 , 10, 2190      , 	[0.4, 0.6],		[200.0, 1000],		[-0.004618793725967407, -0.00042099499842152, 0.0005455825594253838, 0.004520893562585115]

sample , bins_found, bins_wanted, muons_per_reg, 	eta_range,		pT_range,		q*d0_bins
DY     , 2 , 10, 1101      , 	[0.6, 0.8],		[5.0, 7.0],		[-0.014753639698028564, 2.4640488845761865e-05, 0.013790409080684185]
Jpsi   , 10, 10, 8434      , 	[0.6, 0.8],		[5.0, 7.0],		[-0.014736802317202091, -0.002941854298114777, -0.0018346201395615933, -0.001115968800149858, -0.0005336122703738512, -6.677418696199311e-06, 0.0005195789271965623, 0.001113790785893798, 0.001852490124292672, 0.002999741118401289, 0.014990637078881262]
DY+Jpsi, 10, 10, 8654      , 	[0.6, 0.8],		[5.0, 7.0],		[-0.014753639698028564, -0.002942114369943738, -0.0018361418042331934, -0.0011174347018823028, -0.0005331953288987278, -5.955752385489178e-06, 0.0005195561097934842, 0.0011111513013020158, 0.00184802629519254, 0.002996679162606597, 0.014990637078881262]
DY     , 4 , 10, 2482      , 	[0.6, 0.8],		[7.0, 10.0],		[-0.01036922074854374, -0.0012871775543317199, -5.855382596564596e-07, 0.0012462867889553308, 0.012607990764081478]
Jpsi   , 10, 10, 6782      , 	[0.6, 0.8],		[7.0, 10.0],		[-0.01469598710536957, -0.002600423526018858, -0.0016177158104255795, -0.0009730203310027721, -0.00045845643035136163, 1.938239620358217e-05, 0.0004868162504862994, 0.0010054204612970352, 0.0016465521184727552, 0.00263006123714149, 0.01419947389513254]
DY+Jpsi, 10, 10, 7775      , 	[0.6, 0.8],		[7.0, 10.0],		[-0.01469598710536957, -0.0025946153327822685, -0.00161650194786489, -0.0009756565559655428, -0.0004598131636157632, 1.647797216719482e-05, 0.0004859767504967749, 0.0010007548844441774, 0.0016339664580300448, 0.002616404090076685, 0.01419947389513254]
DY     , 10, 10, 3611      , 	[0.6, 0.8],		[10.0, 14.0],		[-0.013583353720605373, -0.002322734333574772, -0.0014760479098185897, -0.0008994750096462667, -0.0004363499174360186, -1.99453133973293e-05, 0.0004023351357318461, 0.0008634519181214273, 0.0014191451482474804, 0.0022460848558694124, 0.013668534345924854]
Jpsi   , 10, 10, 3751      , 	[0.6, 0.8],		[10.0, 14.0],		[-0.014318356290459631, -0.002295358572155237, -0.0014383465750142932, -0.000875084544532001, -0.0004079741484019905, 1.2258159586053807e-05, 0.0004595734353642911, 0.0009218379273079336, 0.0014911891194060445, 0.002352787647396326, 0.013408484868705273]
DY+Jpsi, 10, 10, 7363      , 	[0.6, 0.8],		[10.0, 14.0],		[-0.014318356290459631, -0.0023098685778677464, -0.0014559505507349966, -0.0008862903341650963, -0.0004216227098368108, -2.0028423932672013e-06, 0.0004306478949729353, 0.0008927431190386415, 0.0014573222724720836, 0.002301456406712532, 0.013668534345924854]
DY     , 10, 10, 15367     , 	[0.6, 0.8],		[14.0, 20.0],		[-0.014573676511645317, -0.0021025268360972404, -0.0013456401647999883, -0.0008398829377256334, -0.0004175327776465565, -3.0200464607332833e-05, 0.00035374172148294747, 0.000772572704590857, 0.0012797656236216426, 0.002027472946792841, 0.013181067071855068]
Jpsi   , 7 , 10, 2221      , 	[0.6, 0.8],		[14.0, 20.0],		[-0.011774599552154541, -0.0016860533505678175, -0.0008712642593309282, -0.0002524091105442494, 0.0002961416612379253, 0.0009212568402290344, 0.0017658033175393941, 0.011428432539105415]
DY+Jpsi, 10, 10, 16922     , 	[0.6, 0.8],		[14.0, 20.0],		[-0.014573676511645317, -0.002098800614476204, -0.0013426134828478098, -0.000836798339150846, -0.0004139164520893246, -2.6169778720941395e-05, 0.00035875075263902545, 0.0007795320707373321, 0.0012869909405708313, 0.0020380057394504547, 0.013181067071855068]
DY     , 10, 10, 40877     , 	[0.6, 0.8],		[20.0, 27.0],		[-0.01498361025005579, -0.0019282940775156021, -0.0012363442219793797, -0.0007697726250626147, -0.00037832578527741134, -2.179281182179693e-05, 0.0003401616704650223, 0.000728845305275172, 0.0011975896777585149, 0.0018903118325397372, 0.014990939758718014]
Jpsi   , 2 , 10, 2190      , 	[0.6, 0.8],		[20.0, 27.0],		[-0.009816702455282213, 2.819784458552021e-05, 0.011713492684066296]
DY+Jpsi, 10, 10, 41316     , 	[0.6, 0.8],		[20.0, 27.0],		[-0.01498361025005579, -0.0019274287624284625, -0.001235681353136897, -0.0007691830978728831, -0.000378027674742043, -2.1373114577727392e-05, 0.00034080640762113035, 0.0007294300012290478, 0.0011978995753452182, 0.0018908379133790731, 0.014990939758718014]
DY     , 10, 10, 125886    , 	[0.6, 0.8],		[27.0, 38.0],		[-0.014946953393518925, -0.0017988310428336263, -0.0011591595830395818, -0.0007227197056636214, -0.00035694611142389476, -1.7867065253085457e-05, 0.0003207240079063922, 0.0006864795577712357, 0.0011238938895985484, 0.001759831327944994, 0.014829901047050953]
Jpsi   , 2 , 10, 707       , 	[0.6, 0.8],		[27.0, 38.0],		[-0.007638200651854277, 8.419257210334763e-05, 0.007846208289265633]
DY+Jpsi, 10, 10, 126027    , 	[0.6, 0.8],		[27.0, 38.0],		[-0.014946953393518925, -0.0017987758619710803, -0.0011591424699872732, -0.000722685654181987, -0.00035691255470737815, -1.7750297047314234e-05, 0.000320810591802001, 0.0006865084869787097, 0.0011239119339734316, 0.0017597925616428256, 0.014829901047050953]
DY     , 10, 10, 176801    , 	[0.6, 0.8],		[38.0, 50.0],		[-0.014589542523026466, -0.0016971908044070005, -0.0010897588217630982, -0.0006733931368216872, -0.0003223218081984669, 3.2762732189439703e-06, 0.00032870768336579204, 0.000681213685311377, 0.0010999678634107113, 0.0017081769183278084, 0.014873674139380455]
Jpsi   , 2 , 10, 158       , 	[0.6, 0.8],		[38.0, 50.0],		[-0.006142206955701114, -9.557743396726435e-06, 0.006155488546937704]
DY+Jpsi, 10, 10, 176833    , 	[0.6, 0.8],		[38.0, 50.0],		[-0.014589542523026466, -0.0016971908044070005, -0.0010897688334807754, -0.0006734073394909501, -0.00032231846125796437, 3.278851863797172e-06, 0.0003287015715613961, 0.0006812081555835903, 0.0010999838123098016, 0.0017082060221582651, 0.014873674139380455]
DY     , 10, 10, 71349     , 	[0.6, 0.8],		[50.0, 75.0],		[-0.014917423017323017, -0.0016118614003062248, -0.0010322974994778633, -0.0006281255627982318, -0.00029226127662695944, 2.4254908566945232e-05, 0.000340714817866683, 0.0006783296703360975, 0.0010826420038938522, 0.0016682904679328203, 0.014445660635828972]
Jpsi   , 2 , 10, 52        , 	[0.6, 0.8],		[50.0, 75.0],		[-0.0027959579601883893, 0.00019553313904907557, 0.004704877268522978]
DY+Jpsi, 10, 10, 71359     , 	[0.6, 0.8],		[50.0, 75.0],		[-0.014917423017323017, -0.0016117887571454048, -0.0010322659509256482, -0.0006280754460021853, -0.00029224526952020824, 2.4271346774185076e-05, 0.0003407331241760403, 0.0006783296703360975, 0.0010826271027326584, 0.0016682824352756143, 0.014445660635828972]
DY     , 10, 10, 14160     , 	[0.6, 0.8],		[75.0, 100.0],		[-0.011739874258637428, -0.0015517218271270394, -0.0009941232856363058, -0.0006072577089071274, -0.00027927380870096385, 2.5700413971208036e-05, 0.0003282044199295342, 0.0006568135577253997, 0.0010501517681404948, 0.0016179159283638, 0.01365149486809969]
Jpsi   , 2 , 10, 5         , 	[0.6, 0.8],		[75.0, 100.0],		[-0.002261195098981261, 0.000445925077656284, 0.00236638798378408]
DY+Jpsi, 10, 10, 14161     , 	[0.6, 0.8],		[75.0, 100.0],		[-0.011739874258637428, -0.0015517360297963023, -0.000994148664176464, -0.0006072825053706765, -0.00027927380870096385, 2.571186087152455e-05, 0.00032821643981151283, 0.0006568359094671905, 0.001050175167620182, 0.0016179159283638, 0.01365149486809969]
DY     , 10, 10, 6271      , 	[0.6, 0.8],		[100.0, 150.0],		[-0.010415681637823582, -0.0015131395775824785, -0.0009672696469351649, -0.0005937659880146384, -0.00027231223066337407, 2.8106696845497936e-05, 0.0003307625011075288, 0.0006551818223670125, 0.0010495850583538413, 0.0015976564027369022, 0.014562821015715599]
Jpsi   , 2 , 10, 3         , 	[0.6, 0.8],		[100.0, 150.0],		[-0.0006785637233406304, 4.046767935506068e-05, 0.001933412393555045]
DY+Jpsi, 10, 10, 6271      , 	[0.6, 0.8],		[100.0, 150.0],		[-0.010415681637823582, -0.0015131395775824785, -0.0009672696469351649, -0.0005937659880146384, -0.00027227637474425137, 2.8121854484197684e-05, 0.0003308240557089448, 0.0006551858969032764, 0.001049685524776578, 0.0015976643189787865, 0.014562821015715599]
DY     , 6 , 10, 2086      , 	[0.6, 0.8],		[150.0, 200.0],		[-0.006101589649915695, -0.0011044194689020514, -0.0004567774012684822, 3.20391591230873e-05, 0.0005508918548002839, 0.0011690023820847273, 0.0109481206163764]
Jpsi   , -1, 10, 0         , 	[0.6, 0.8],		[150.0, 200.0],		[None, None]
DY+Jpsi, 6 , 10, 2086      , 	[0.6, 0.8],		[150.0, 200.0],		[-0.006101589649915695, -0.0011044194689020514, -0.0004567774012684822, 3.20391591230873e-05, 0.0005508918548002839, 0.0011690023820847273, 0.0109481206163764]
DY     , 3 , 10, 2081      , 	[0.6, 0.8],		[200.0, 1000],		[-0.006771909072995186, -0.00044826336670666933, 0.0005594171234406531, 0.007686831522732973]
Jpsi   , -1, 10, 0         , 	[0.6, 0.8],		[200.0, 1000],		[None, None]
DY+Jpsi, 3 , 10, 2081      , 	[0.6, 0.8],		[200.0, 1000],		[-0.006771909072995186, -0.00044826336670666933, 0.0005594171234406531, 0.007686831522732973]

sample , bins_found, bins_wanted, muons_per_reg, 	eta_range,		pT_range,		q*d0_bins
DY     , 2 , 10, 1474      , 	[0.8, 1.0],		[5.0, 7.0],		[-0.013223113492131233, 4.325451664044522e-05, 0.012047127820551395]
Jpsi   , 10, 10, 8277      , 	[0.8, 1.0],		[5.0, 7.0],		[-0.014789788983762263, -0.0030475668609142303, -0.0018767447909340265, -0.001122424961067736, -0.0005228371592238545, 2.731208587647416e-05, 0.0005825029220432043, 0.001200412167236209, 0.0019589888397604227, 0.0031543727964162827, 0.014699071645736694]
DY+Jpsi, 10, 10, 8572      , 	[0.8, 1.0],		[5.0, 7.0],		[-0.014789788983762263, -0.003043224336579442, -0.0018750285962596536, -0.0011216145940124989, -0.000522107700817287, 2.7902629881282337e-05, 0.0005819190409965812, 0.001197653589770198, 0.0019547194242477413, 0.003145836293697357, 0.014699071645736694]
DY     , 6 , 10, 2136      , 	[0.8, 1.0],		[7.0, 10.0],		[-0.012773293070495129, -0.0019545182585716248, -0.0008417390054091811, -1.2767415000780602e-06, 0.0008441285463050008, 0.0019062507199123502, 0.014968710951507092]
Jpsi   , 10, 10, 6675      , 	[0.8, 1.0],		[7.0, 10.0],		[-0.014960124157369137, -0.002680230885744095, -0.0016527700936421752, -0.0009944436606019735, -0.0004530811565928161, 3.5922625102102757e-05, 0.0005050111212767661, 0.0010394689161330464, 0.0016882388154044747, 0.002708213170990348, 0.01456249784678221]
DY+Jpsi, 10, 10, 7957      , 	[0.8, 1.0],		[7.0, 10.0],		[-0.014960124157369137, -0.002683068625628948, -0.0016590965678915381, -0.0009989847894757986, -0.0004592686018440872, 3.018943971255794e-05, 0.0005012353067286313, 0.0010369064984843137, 0.0016810583183541894, 0.002695456612855196, 0.014968710951507092]
DY     , 10, 10, 4273      , 	[0.8, 1.0],		[10.0, 14.0],		[-0.014191706664860249, -0.0024099932052195072, -0.0015138097805902362, -0.0009258903446607292, -0.00045953397057019174, -3.090379686909728e-05, 0.00040765589801594615, 0.0008855696069076657, 0.0014639021828770638, 0.002347803907468915, 0.014376215636730194]
Jpsi   , 10, 10, 3639      , 	[0.8, 1.0],		[10.0, 14.0],		[-0.013638892211019993, -0.0023536430671811104, -0.0014640954323112965, -0.0008883523405529559, -0.0004038071201648563, 3.4121520002372556e-05, 0.00047222568537108606, 0.0009512363467365504, 0.0015444926684722304, 0.0024564964696764946, 0.014137850143015385]
DY+Jpsi, 10, 10, 7913      , 	[0.8, 1.0],		[10.0, 14.0],		[-0.014191706664860249, -0.002386523177847266, -0.0014922317350283265, -0.0009074906702153385, -0.00043317870586179197, -1.2683851764450085e-06, 0.00043702500988729304, 0.0009149921825155617, 0.0015021712752059102, 0.0023989633191376925, 0.014376215636730194]
DY     , 10, 10, 17179     , 	[0.8, 1.0],		[14.0, 20.0],		[-0.013981256633996964, -0.0021767502184957266, -0.0013805569615215063, -0.0008555915555916727, -0.0004175858630333096, -2.6227737180306576e-05, 0.00036812471807934344, 0.0007975399494171143, 0.0013123288517817855, 0.0020984516013413668, 0.014810706488788128]
Jpsi   , 7 , 10, 2192      , 	[0.8, 1.0],		[14.0, 20.0],		[-0.014927826821804047, -0.0017720269970595837, -0.0009006977779790758, -0.0002688893291633576, 0.00032508288859389717, 0.0009468869538977742, 0.0018114132108166812, 0.014084297232329844]
DY+Jpsi, 10, 10, 18713     , 	[0.8, 1.0],		[14.0, 20.0],		[-0.014927826821804047, -0.0021772626787424088, -0.00137956696562469, -0.0008536045206710696, -0.00041503531974740326, -2.215319727838505e-05, 0.00037407473428174853, 0.000804268172942102, 0.001319974660873413, 0.0021082048770040274, 0.014810706488788128]
DY     , 10, 10, 40330     , 	[0.8, 1.0],		[20.0, 27.0],		[-0.014739330857992172, -0.0019984631799161434, -0.0012777368538081646, -0.0007942115189507604, -0.0003893507819157094, -2.5503102733637206e-05, 0.00033995386911556125, 0.0007406112272292376, 0.0012189055560156703, 0.0019295222591608763, 0.014768974855542183]
Jpsi   , 2 , 10, 2010      , 	[0.8, 1.0],		[20.0, 27.0],		[-0.0059413472190499314, 3.643046147772111e-05, 0.00995029229670763]
DY+Jpsi, 10, 10, 40732     , 	[0.8, 1.0],		[20.0, 27.0],		[-0.014739330857992172, -0.0019966308027505875, -0.0012769992463290691, -0.0007934917812235653, -0.00038867295370437205, -2.4909917556215078e-05, 0.00034066030639223754, 0.0007412379491142929, 0.0012196657480672002, 0.001930802594870329, 0.014768974855542183]
DY     , 10, 10, 117453    , 	[0.8, 1.0],		[27.0, 38.0],		[-0.01494559459388256, -0.0018588812090456486, -0.0011959216790273786, -0.0007456669118255377, -0.0003714218910317868, -2.8934467991348356e-05, 0.000316671998007223, 0.0006884239264763892, 0.001134962891228497, 0.0017944463761523366, 0.014712614938616753]
Jpsi   , 2 , 10, 702       , 	[0.8, 1.0],		[27.0, 38.0],		[-0.007843137718737125, -2.2342745069181547e-05, 0.00571648683398962]
DY+Jpsi, 10, 10, 117594    , 	[0.8, 1.0],		[27.0, 38.0],		[-0.01494559459388256, -0.001858861418440938, -0.0011958995601162314, -0.0007456669118255377, -0.0003714286140166223, -2.893249984481372e-05, 0.0003166756359860301, 0.0006884342292323709, 0.001134999911300838, 0.00179452879820019, 0.014712614938616753]
DY     , 10, 10, 173388    , 	[0.8, 1.0],		[38.0, 50.0],		[-0.014813736081123352, -0.0017265669303014874, -0.0011063634883612394, -0.0006812949432060122, -0.0003265777777414769, 2.8652318633248797e-06, 0.0003329058235976845, 0.0006880192668177187, 0.0011157586704939604, 0.0017402799567207694, 0.014535179361701012]
Jpsi   , 2 , 10, 154       , 	[0.8, 1.0],		[38.0, 50.0],		[-0.0050968597643077365, -2.520675843697973e-05, 0.005060306284576654]
DY+Jpsi, 10, 10, 173419    , 	[0.8, 1.0],		[38.0, 50.0],		[-0.014813736081123352, -0.0017266033682972193, -0.001106386655010283, -0.0006813145591877401, -0.00032660336000844836, 2.8624758670048323e-06, 0.00033289703424088657, 0.0006880341097712517, 0.0011157820699736476, 0.001740288338623941, 0.014535179361701012]
DY     , 10, 10, 69682     , 	[0.8, 1.0],		[50.0, 75.0],		[-0.01464883890002966, -0.0016265606973320246, -0.001034771790727973, -0.0006281309179030359, -0.00028585875406861305, 2.9744898711214773e-05, 0.0003479746519587934, 0.0006933443364687264, 0.0011042322730645537, 0.0017051835311576724, 0.01499656867235899]
Jpsi   , 2 , 10, 43        , 	[0.8, 1.0],		[50.0, 75.0],		[-0.005119354929775, 8.476862421957776e-05, 0.002832822501659393]
DY+Jpsi, 10, 10, 69690     , 	[0.8, 1.0],		[50.0, 75.0],		[-0.01464883890002966, -0.0016265584854409099, -0.001034771790727973, -0.0006281315581873059, -0.0002858373918570578, 2.975754796352703e-05, 0.0003479752049315721, 0.0006933443946763873, 0.0011042854748666286, 0.0017051970353350043, 0.01499656867235899]
DY     , 10, 10, 13774     , 	[0.8, 1.0],		[75.0, 100.0],		[-0.014705989509820938, -0.001569059444591403, -0.0009960312163457274, -0.000607943395152688, -0.00028363190358504653, 2.7595275241765194e-05, 0.00033366927527822554, 0.0006670249858871102, 0.0010662059066817164, 0.0016428580274805427, 0.012543401680886745]
Jpsi   , 2 , 10, 7         , 	[0.8, 1.0],		[75.0, 100.0],		[-0.0016723443986847995, 7.346484198933467e-05, 0.002317037200555205]
DY+Jpsi, 10, 10, 13776     , 	[0.8, 1.0],		[75.0, 100.0],		[-0.014705989509820938, -0.0015688355779275298, -0.0009960312163457274, -0.000607943395152688, -0.00028363190358504653, 2.7595275241765194e-05, 0.00033366927527822554, 0.0006670107832178473, 0.0010661795968189836, 0.0016428004018962383, 0.012543401680886745]
DY     , 10, 10, 6044      , 	[0.8, 1.0],		[100.0, 150.0],		[-0.011071027256548405, -0.0015427781036123633, -0.0009834513766691089, -0.0005964157171547413, -0.0002694227150641382, 3.291642860858701e-05, 0.00033823633566498756, 0.0006646217661909759, 0.0010405180510133505, 0.0016080866334959865, 0.012446661479771137]
Jpsi   , 2 , 10, 2         , 	[0.8, 1.0],		[100.0, 150.0],		[-0.0013574673794209955, -0.001170119387097657, 0.004980734549462795]
DY+Jpsi, 10, 10, 6045      , 	[0.8, 1.0],		[100.0, 150.0],		[-0.011071027256548405, -0.0015426580794155598, -0.0009834513766691089, -0.0005963499424979091, -0.00026934759807772934, 3.29291433445178e-05, 0.0003383730654604733, 0.0006647185073234141, 0.00104076461866498, 0.0016081726644188166, 0.012446661479771137]
DY     , 5 , 10, 2349      , 	[0.8, 1.0],		[150.0, 200.0],		[-0.010019681416451931, -0.0009545051725581288, -0.0002635070704855025, 0.0003211825678590685, 0.001043400727212429, 0.013517740182578564]
Jpsi   , -1, 10, 0         , 	[0.8, 1.0],		[150.0, 200.0],		[None, None]
DY+Jpsi, 5 , 10, 2349      , 	[0.8, 1.0],		[150.0, 200.0],		[-0.010019681416451931, -0.0009545051725581288, -0.0002635070704855025, 0.0003211825678590685, 0.001043400727212429, 0.013517740182578564]
DY     , 3 , 10, 2059      , 	[0.8, 1.0],		[200.0, 1000],		[-0.005358840338885784, -0.00043976851156912744, 0.0005483395070768893, 0.010782014578580856]
Jpsi   , 2 , 10, 0         , 	[0.8, 1.0],		[200.0, 1000],		[-0.0003454924735706334, -0.00034549247357062995, -0.00034549247357062995]
DY+Jpsi, 3 , 10, 2060      , 	[0.8, 1.0],		[200.0, 1000],		[-0.005358840338885784, -0.00043938116868957877, 0.0005483395070768893, 0.010782014578580856]

sample , bins_found, bins_wanted, muons_per_reg, 	eta_range,		pT_range,		q*d0_bins
DY     , 2 , 10, 2572      , 	[1.0, 1.25],		[5.0, 7.0],		[-0.013000638224184513, -5.979529669275507e-05, 0.013639352284371853]
Jpsi   , 10, 10, 9781      , 	[1.0, 1.25],		[5.0, 7.0],		[-0.014824224635958672, -0.0031361100263893604, -0.0019318342674523594, -0.0011518668616190553, -0.0005304604419507086, 3.549609027686529e-05, 0.0005989736528135836, 0.001224105944857001, 0.0020042196847498413, 0.0032247193157672878, 0.01474612858146429]
DY+Jpsi, 10, 10, 10295     , 	[1.0, 1.25],		[5.0, 7.0],		[-0.014824224635958672, -0.0031379603315144773, -0.0019338106503710149, -0.0011564306914806366, -0.0005353173473849894, 3.0217646781238734e-05, 0.0005934141227044165, 0.0012170679401606321, 0.0019968771375715733, 0.003219067584723234, 0.01474612858146429]
DY     , 9 , 10, 2206      , 	[1.0, 1.25],		[7.0, 10.0],		[-0.014212219044566154, -0.0026693062391132116, -0.0016093483427539468, -0.0009107961668632925, -0.0003288793668616563, 0.00020217557903379202, 0.0007835334981791675, 0.0014862531097605824, 0.0025433965492993593, 0.014898369088768959]
Jpsi   , 10, 10, 7816      , 	[1.0, 1.25],		[7.0, 10.0],		[-0.014874394983053209, -0.0027301479130983357, -0.0016607623547315598, -0.0009929734515026214, -0.00046286583528853953, 3.279587690485641e-05, 0.0005259008030407131, 0.0010745502077043056, 0.001753465854562819, 0.0028055720031261444, 0.01410701684653759]
DY+Jpsi, 10, 10, 9802      , 	[1.0, 1.25],		[7.0, 10.0],		[-0.014874394983053209, -0.002751475432887673, -0.0016836081631481647, -0.0010138864163309336, -0.0004784081829711795, 1.4429309885599649e-05, 0.0005087715107947588, 0.0010534576140344145, 0.0017364945961162448, 0.002782407682389021, 0.014898369088768959]
DY     , 10, 10, 6290      , 	[1.0, 1.25],		[10.0, 14.0],		[-0.014453803189098835, -0.0024440691340714693, -0.001539550838060677, -0.000939905468840152, -0.00047412700951099396, -3.4045799111481756e-05, 0.0004033244913443923, 0.0008816830813884735, 0.0014717144658789039, 0.002361786551773548, 0.014838998205959797]
Jpsi   , 10, 10, 4242      , 	[1.0, 1.25],		[10.0, 14.0],		[-0.013752277940511705, -0.0024529476650059228, -0.0015104931080713868, -0.0008994451491162182, -0.0004196763911750168, 2.206397948611993e-05, 0.0004682408762164414, 0.0009524417109787463, 0.0015688802814111116, 0.0025005405768752102, 0.014799024909734724]
DY+Jpsi, 10, 10, 10532     , 	[1.0, 1.25],		[10.0, 14.0],		[-0.014453803189098835, -0.0024497874546796083, -0.001528642256744206, -0.0009247471462003887, -0.00045385933481156826, -1.2154732758062892e-05, 0.0004297097329981625, 0.0009081219905056059, 0.00150630425196141, 0.00242372346110642, 0.014838998205959797]
DY     , 10, 10, 22962     , 	[1.0, 1.25],		[14.0, 20.0],		[-0.014714040793478489, -0.0022281366400420666, -0.0014165700413286686, -0.0008840683149173856, -0.00044560717651620507, -4.123169128433801e-05, 0.0003580575867090374, 0.0007907858234830201, 0.0013086843537166715, 0.002114914357662201, 0.01478683203458786]
Jpsi   , 8 , 10, 2170      , 	[1.0, 1.25],		[14.0, 20.0],		[-0.010522536933422087, -0.001906991004943848, -0.001062297378666699, -0.0004860593180637808, 2.9665778129128743e-05, 0.0005315561429597436, 0.0011117857648059726, 0.0020147156901657577, 0.012845780700445177]
DY+Jpsi, 10, 10, 24698     , 	[1.0, 1.25],		[14.0, 20.0],		[-0.014714040793478489, -0.002224832773208618, -0.0014128682669252157, -0.0008789661224000156, -0.0004416123847477138, -3.614512752392329e-05, 0.0003630943247117102, 0.0007944779936224222, 0.0013156047789379954, 0.002128227148205042, 0.01478683203458786]
DY     , 10, 10, 47619     , 	[1.0, 1.25],		[20.0, 27.0],		[-0.014992139302194118, -0.0020368590485304594, -0.0013006409863010049, -0.0008086359011940658, -0.00040439717122353613, -3.307997394585982e-05, 0.0003392694052308798, 0.0007407364901155233, 0.0012309371959418058, 0.0019614235498011112, 0.014650316908955574]
Jpsi   , 2 , 10, 2365      , 	[1.0, 1.25],		[20.0, 27.0],		[-0.007365105208009481, 1.5869978597038426e-05, 0.011846957728266716]
DY+Jpsi, 10, 10, 48092     , 	[1.0, 1.25],		[20.0, 27.0],		[-0.014992139302194118, -0.0020358983892947435, -0.0012997871963307261, -0.0008078611572273076, -0.0004039904160890728, -3.247053609811701e-05, 0.0003396752290427685, 0.0007410176913253963, 0.0012311410391703248, 0.001961667789146304, 0.014650316908955574]
DY     , 10, 10, 131149    , 	[1.0, 1.25],		[27.0, 38.0],		[-0.014978303574025631, -0.0018886253237724304, -0.0012117900187149644, -0.0007563307299278677, -0.0003800019039772451, -3.096257569268346e-05, 0.00031582292285747826, 0.0006913226097822189, 0.0011422508396208286, 0.0018130195094272494, 0.014989586547017097]
Jpsi   , 2 , 10, 818       , 	[1.0, 1.25],		[27.0, 38.0],		[-0.007210235111415386, 4.600226748152636e-05, 0.008816570043563845]
DY+Jpsi, 10, 10, 131312    , 	[1.0, 1.25],		[27.0, 38.0],		[-0.014978303574025631, -0.0018884348683059216, -0.0012116642901673913, -0.0007562609971500933, -0.00037988831172697246, -3.081780960201286e-05, 0.0003159158513881266, 0.0006913712713867426, 0.0011422953102737665, 0.001813149661757052, 0.014989586547017097]
DY     , 10, 10, 202775    , 	[1.0, 1.25],		[38.0, 50.0],		[-0.014978645369410515, -0.00173751765396446, -0.0011099191615357995, -0.0006821139249950647, -0.00032480907975696027, 7.17386456017266e-06, 0.00033834914211183786, 0.0006976149161346257, 0.0011283669155091047, 0.00176542392000556, 0.014984834007918835]
Jpsi   , 2 , 10, 175       , 	[1.0, 1.25],		[38.0, 50.0],		[-0.007433665916323663, 0.00013296747056301686, 0.006090741138905287]
DY+Jpsi, 10, 10, 202810    , 	[1.0, 1.25],		[38.0, 50.0],		[-0.014978645369410515, -0.0017374804010614753, -0.0011099022813141346, -0.0006820829003117979, -0.000324782362440601, 7.199156243586913e-06, 0.00033837766386568546, 0.0006976359873078763, 0.0011284078937023878, 0.001765439985319972, 0.014984834007918835]
