all_eta_bins : [0.0, 0.2, 0.4, 0.6, 0.8, 1.0, 1.25, 1.5, 1.75, 2.0, 2.1, 2.2, 2.3, 2.4]
all_pT_bins  : [5.0, 7.0, 10.0, 14.0, 20.0, 27.0, 38.0, 50.0, 75.0, 100.0, 150.0, 200.0, 1000]

sample , bins_found, bins_wanted, muons_per_reg, 	eta_range,		pT_range,		q*d0_bins
DY     , 10, 10, 75770     , 	[0.0, 0.2],		[50.0, 75.0],		[-0.014888215810060501, -0.0016211980255320668, -0.0010421714978292584, -0.000634559488389641, -0.00029562946292571723, 2.176102680095937e-05, 0.00033884256845340133, 0.0006817122921347618, 0.0010876660235226154, 0.0016721599968150258, 0.014883781783282757]
Jpsi   , 2 , 10, 57        , 	[0.0, 0.2],		[50.0, 75.0],		[-0.0062148040160536775, -6.098614176153205e-05, 0.002895424608141184]
DY+Jpsi, 10, 10, 75781     , 	[0.0, 0.2],		[50.0, 75.0],		[-0.014888215810060501, -0.001621181145310402, -0.0010421492625027895, -0.0006345690344460309, -0.00029563106363639235, 2.175852205255069e-05, 0.00033884780714288354, 0.0006817674729973078, 0.001087702694348991, 0.0016722178552299738, 0.014883781783282757]
DY     , 10, 10, 15420     , 	[0.0, 0.2],		[75.0, 100.0],		[-0.013743768446147442, -0.0015804884023964405, -0.0010162374237552285, -0.0006179191404953599, -0.0002827769494615495, 2.3594746380695142e-05, 0.0003368508769199252, 0.0006713626207783818, 0.0010702387662604451, 0.0016381492605432868, 0.01468217559158802]
Jpsi   , 2 , 10, 9         , 	[0.0, 0.2],		[75.0, 100.0],		[-0.004148978739976883, -7.331794768106191e-05, 0.0019545205868780613]
DY+Jpsi, 10, 10, 15422     , 	[0.0, 0.2],		[75.0, 100.0],		[-0.013743768446147442, -0.0015806539449840784, -0.001016276772134006, -0.0006179366027936339, -0.00028278399258852005, 2.35789248108631e-05, 0.0003368440375197679, 0.0006713034235872328, 0.0010702387662604451, 0.0016381492605432868, 0.01468217559158802]
DY     , 10, 10, 6848      , 	[0.0, 0.2],		[100.0, 150.0],		[-0.013963092118501663, -0.001547867665067315, -0.0009986668592318892, -0.0006072944961488247, -0.000279032567050308, 3.134947473881766e-05, 0.00034492634586058557, 0.0006786425365135074, 0.0010687910253182054, 0.001643623225390911, 0.014937998726963997]
Jpsi   , 2 , 10, 1         , 	[0.0, 0.2],		[100.0, 150.0],		[-2.386133746767906e-05, -2.3861337467678823e-05, 0.000369669811334461]
DY+Jpsi, 10, 10, 6848      , 	[0.0, 0.2],		[100.0, 150.0],		[-0.013963092118501663, -0.001547867665067315, -0.0009986668592318892, -0.0006072924588806927, -0.0002789418795146048, 3.138310057693161e-05, 0.000344928412232548, 0.0006786425365135074, 0.0010687910253182054, 0.001643623225390911, 0.014937998726963997]
DY     , 6 , 10, 2243      , 	[0.0, 0.2],		[150.0, 200.0],		[-0.010298129171133041, -0.001145601854659617, -0.0004827857483178377, 4.3196378101129085e-05, 0.0005695323925465345, 0.0012296967906877398, 0.012674445286393166]
Jpsi   , -1, 10, 0         , 	[0.0, 0.2],		[150.0, 200.0],		[None, None]
DY+Jpsi, 6 , 10, 2243      , 	[0.0, 0.2],		[150.0, 200.0],		[-0.010298129171133041, -0.001145601854659617, -0.0004827857483178377, 4.3196378101129085e-05, 0.0005695323925465345, 0.0012296967906877398, 0.012674445286393166]
DY     , 3 , 10, 2217      , 	[0.0, 0.2],		[200.0, 1000],		[-0.011546067893505096, -0.00044348390656523407, 0.0005842125392518938, 0.007474492769688368]
Jpsi   , 2 , 10, 0         , 	[0.0, 0.2],		[200.0, 1000],		[0.0009514887351542618, 0.0009514887351542713, 0.0009514887351542713]
DY+Jpsi, 3 , 10, 2217      , 	[0.0, 0.2],		[200.0, 1000],		[-0.011546067893505096, -0.00044348390656523407, 0.0005842125392518938, 0.007474492769688368]

sample , bins_found, bins_wanted, muons_per_reg, 	eta_range,		pT_range,		q*d0_bins
DY     , 2 , 10, 550       , 	[0.2, 0.4],		[5.0, 7.0],		[-0.01088931318372488, -0.00015769492893014103, 0.013102336786687374]
Jpsi   , 10, 10, 8676      , 	[0.2, 0.4],		[5.0, 7.0],		[-0.014854121953248978, -0.002870795782655477, -0.001787799526937306, -0.0010809594532474878, -0.0005040950491093099, 1.8040243958239444e-05, 0.0005471168551594019, 0.001122466754168272, 0.0018345230491831894, 0.0029260716401040554, 0.014857927337288857]
DY+Jpsi, 10, 10, 8786      , 	[0.2, 0.4],		[5.0, 7.0],		[-0.014854121953248978, -0.002870795782655477, -0.0017902186373248696, -0.001083463430404663, -0.0005056247464381158, 1.5591182091156952e-05, 0.000545829941984266, 0.0011195674305781722, 0.0018298622453585265, 0.002922820160165429, 0.014857927337288857]
DY     , 3 , 10, 2078      , 	[0.2, 0.4],		[7.0, 10.0],		[-0.011471828445792198, -0.0008524523582309484, 0.0007476491155102849, 0.014116586185991764]
Jpsi   , 10, 10, 7061      , 	[0.2, 0.4],		[7.0, 10.0],		[-0.014810425229370594, -0.002550657605752349, -0.0016003547934815288, -0.0009723888942971827, -0.0004565772251226008, 8.278323548438491e-06, 0.00047040230128914123, 0.0009841753635555506, 0.001616830937564373, 0.0025319796986877923, 0.014785642735660074]
DY+Jpsi, 10, 10, 7684      , 	[0.2, 0.4],		[7.0, 10.0],		[-0.014810425229370594, -0.002552096964791417, -0.0016006026417016983, -0.0009770767064765096, -0.00046205837861634785, 3.293189593023272e-06, 0.00046628524432890117, 0.0009794780053198338, 0.0016134206671267748, 0.00252022547647357, 0.014785642735660074]
DY     , 10, 10, 2737      , 	[0.2, 0.4],		[10.0, 14.0],		[-0.012168701738119125, -0.002282838337123394, -0.0014638708671554923, -0.0009096267749555409, -0.00045797982602380216, -6.345415749819949e-05, 0.000357603159500286, 0.0008244830532930791, 0.0013792540412396193, 0.0022219661623239517, 0.013304001651704311]
Jpsi   , 10, 10, 3911      , 	[0.2, 0.4],		[10.0, 14.0],		[-0.013786811381578444, -0.0022816327400505547, -0.0014221140882000327, -0.0008591058431193233, -0.0004058882186654955, 2.1070061848149635e-05, 0.0004570139572024346, 0.0009248684509657324, 0.0014808046398684382, 0.002350125694647432, 0.012589171528816223]
DY+Jpsi, 10, 10, 6649      , 	[0.2, 0.4],		[10.0, 14.0],		[-0.013786811381578444, -0.0022819966543465853, -0.0014382480876520276, -0.0008816372137516738, -0.0004286048060748726, -1.5018490557849871e-05, 0.00041282433085143566, 0.0008833376341499387, 0.0014418248319998384, 0.0023002061061561108, 0.013304001651704311]
DY     , 10, 10, 12467     , 	[0.2, 0.4],		[14.0, 20.0],		[-0.014722244814038277, -0.0020672092214226723, -0.0013181017711758614, -0.0008105153683573008, -0.0004039914929307997, -2.2671069018542767e-05, 0.0003617810143623501, 0.0007719890563748777, 0.001267765648663044, 0.002002830384299159, 0.013763525523245335]
Jpsi   , 8 , 10, 2051      , 	[0.2, 0.4],		[14.0, 20.0],		[-0.012650756165385245, -0.0018107129726558926, -0.0010385748464614153, -0.00047310016816481953, 1.945516123669222e-05, 0.0005047629238106309, 0.0010627990122884512, 0.0018520326120778923, 0.010609424673020841]
DY+Jpsi, 10, 10, 14108     , 	[0.2, 0.4],		[14.0, 20.0],		[-0.014722244814038277, -0.002061976818367839, -0.0013148810248821974, -0.0008095859084278345, -0.0003997661406174302, -1.813262679206673e-05, 0.0003664340474642813, 0.0007775828707963228, 0.0012758055236190557, 0.0020102309063076973, 0.013763525523245335]
DY     , 10, 10, 41636     , 	[0.2, 0.4],		[20.0, 27.0],		[-0.014868201687932014, -0.0019014386925846338, -0.0012235635658726096, -0.0007624170393683016, -0.00037823294405825436, -2.105238672811538e-05, 0.00033706778776831925, 0.0007218347163870931, 0.0011841091327369213, 0.001864384743385017, 0.014709118753671646]
Jpsi   , 2 , 10, 2270      , 	[0.2, 0.4],		[20.0, 27.0],		[-0.014772495254874231, 1.829367829486728e-05, 0.009168792515993118]
DY+Jpsi, 10, 10, 42090     , 	[0.2, 0.4],		[20.0, 27.0],		[-0.014868201687932014, -0.0019019508035853505, -0.0012233558809384704, -0.0007619796087965369, -0.00037781655555590987, -2.0518638848443516e-05, 0.0003377864195499569, 0.0007226885645650327, 0.0011849883012473583, 0.0018651123391464353, 0.014709118753671646]
DY     , 10, 10, 142474    , 	[0.2, 0.4],		[27.0, 38.0],		[-0.014866907149553299, -0.0017868306022137403, -0.0011528318282216787, -0.0007172868936322629, -0.0003520101017784327, -1.377431362925563e-05, 0.00032446993282064795, 0.000689959735609591, 0.0011244150809943676, 0.0017555821686983109, 0.01498426590114832]
Jpsi   , 2 , 10, 755       , 	[0.2, 0.4],		[27.0, 38.0],		[-0.00508238235488534, 5.2062468967051245e-06, 0.0064871255308389655]
DY+Jpsi, 10, 10, 142625    , 	[0.2, 0.4],		[27.0, 38.0],		[-0.014866907149553299, -0.0017867833375930786, -0.0011528662871569395, -0.0007172688492573798, -0.00035196388489566743, -1.3743689123657532e-05, 0.00032448270940221846, 0.0006899686995893717, 0.0011244445340707898, 0.001755777164362371, 0.01498426590114832]
DY     , 10, 10, 183531    , 	[0.2, 0.4],		[38.0, 50.0],		[-0.014791944064199924, -0.0016913003055378795, -0.0010889171389862895, -0.0006707403808832169, -0.00032037380151450634, 5.79136622036458e-06, 0.00033143500331789255, 0.0006829170743003488, 0.0011027953587472439, 0.0017059976235032082, 0.014863232150673866]
Jpsi   , 2 , 10, 150       , 	[0.2, 0.4],		[38.0, 50.0],		[-0.0043981270864605895, 2.382401544309687e-05, 0.005863300524652004]
DY+Jpsi, 10, 10, 183561    , 	[0.2, 0.4],		[38.0, 50.0],		[-0.014791944064199924, -0.0016913199797272682, -0.0010889339027926326, -0.0006707370048388839, -0.0003203707456123084, 5.792168394691544e-06, 0.0003314451896585524, 0.0006829255144111812, 0.0011028179433196783, 0.0017060430254787207, 0.014863232150673866]
DY     , 10, 10, 74906     , 	[0.2, 0.4],		[50.0, 75.0],		[-0.01480244379490614, -0.001614504843018949, -0.0010361203458160162, -0.0006321060936897993, -0.00029261253075674176, 2.449048224661965e-05, 0.00033949094358831644, 0.0006824491429142654, 0.0010895886225625873, 0.0016743344021961093, 0.014797616750001907]
Jpsi   , 2 , 10, 50        , 	[0.2, 0.4],		[50.0, 75.0],		[-0.007970482110977173, 4.3812360672745854e-05, 0.0038638815749436617]
DY+Jpsi, 10, 10, 74916     , 	[0.2, 0.4],		[50.0, 75.0],		[-0.01480244379490614, -0.001614504843018949, -0.0010360858868807554, -0.0006320883985608816, -0.0002926106390077621, 2.4492554075550288e-05, 0.0003395072417333722, 0.0006824533338658512, 0.0010896050371229649, 0.0016743604792281985, 0.014797616750001907]
DY     , 10, 10, 15113     , 	[0.2, 0.4],		[75.0, 100.0],		[-0.014616429805755615, -0.0015760762616991997, -0.0010103684617206454, -0.0006174554000608623, -0.0002858174266293645, 2.4199918698286638e-05, 0.00033645133953541517, 0.0006657896446995437, 0.0010646575829014182, 0.0016316068358719349, 0.014694091863930225]
Jpsi   , 2 , 10, 2         , 	[0.2, 0.4],		[75.0, 100.0],		[-0.002646537031978369, -0.002314166165888309, 0.0009039083961397408]
DY+Jpsi, 10, 10, 15113     , 	[0.2, 0.4],		[75.0, 100.0],		[-0.014616429805755615, -0.0015761492541059852, -0.0010105285327881575, -0.0006174714653752744, -0.00028583710081875324, 2.4199918698286638e-05, 0.00033648539101704955, 0.0006658117636106908, 0.0010646575829014182, 0.0016316068358719349, 0.014694091863930225]
DY     , 10, 10, 6739      , 	[0.2, 0.4],		[100.0, 150.0],		[-0.009160570800304413, -0.0015340762911364436, -0.000975223898421973, -0.0005858592921867967, -0.00025487286620773375, 5.099084592075087e-05, 0.00035546423168852925, 0.000678405340295285, 0.0010743866441771388, 0.0016440687468275428, 0.01331315841525793]
Jpsi   , 2 , 10, 1         , 	[0.2, 0.4],		[100.0, 150.0],		[-0.002164384117350004, -0.0021643841173499823, 0.003260578727349639]
DY+Jpsi, 10, 10, 6740      , 	[0.2, 0.4],		[100.0, 150.0],		[-0.009160570800304413, -0.0015340762911364436, -0.0009751944453455508, -0.0005857979413121939, -0.0002548665797803551, 5.099084592075087e-05, 0.00035546423168852925, 0.000678405340295285, 0.0010743866441771388, 0.0016440687468275428, 0.01331315841525793]
DY     , 6 , 10, 2222      , 	[0.2, 0.4],		[150.0, 200.0],		[-0.00906040146946907, -0.0011125170858576894, -0.00045875521027483046, 5.617856731987558e-05, 0.0005649963277392089, 0.0012371299089863896, 0.008484589867293835]
Jpsi   , 2 , 10, 0         , 	[0.2, 0.4],		[150.0, 200.0],		[0.0008345748065039431, 0.0008345748065039514, 0.0008345748065039514]
DY+Jpsi, 6 , 10, 2222      , 	[0.2, 0.4],		[150.0, 200.0],		[-0.00906040146946907, -0.0011125170858576894, -0.00045875521027483046, 5.6213713833130896e-05, 0.0005651541869156063, 0.0012371299089863896, 0.008484589867293835]
DY     , 3 , 10, 2249      , 	[0.2, 0.4],		[200.0, 1000],		[-0.0048769088461995125, -0.0004544035473372787, 0.0005322967772372067, 0.006430446170270443]
Jpsi   , 2 , 10, 0         , 	[0.2, 0.4],		[200.0, 1000],		[-4.815432839677717e-05, -4.815432839677669e-05, -4.815432839677669e-05]
