all_eta_bins : [0.0, 0.2, 0.4, 0.6, 0.8, 1.0, 1.25, 1.5, 1.75, 2.0, 2.1, 2.2, 2.3, 2.4]
all_pT_bins  : [5.0, 7.0, 10.0, 14.0, 20.0, 27.0, 38.0, 50.0, 75.0, 100.0, 150.0, 200.0, 1000]

sample , bins_found, bins_wanted, muons_per_reg, 	eta_range,		pT_range,		q*d0_bins
DY     , 2 , 12, 435       , 	[0.0, 0.2],		[5.0, 7.0],		[-0.00945858284831047, 5.9598114603431895e-05, 0.009630043990910053]
Jpsi   , 12, 12, 7292      , 	[0.0, 0.2],		[5.0, 7.0],		[-0.014860251918435097, -0.003061205614358187, -0.0020402714144438505, -0.0013823672197759151, -0.0008648703806102276, -0.000420362688601017, 1.0749884040706092e-06, 0.0004358847800176591, 0.0008786905091255902, 0.0014074342325329778, 0.0020703163463622327, 0.003119463799521327, 0.01496229041367769]
DY+Jpsi, 12, 12, 7364      , 	[0.0, 0.2],		[5.0, 7.0],		[-0.014860251918435097, -0.0030620612669736147, -0.0020420558284968138, -0.0013824461493641136, -0.0008642502943985164, -0.000420091935666278, 1.5843874052734463e-06, 0.00043722728150896733, 0.0008801548974588511, 0.0014087818562984467, 0.002071700291708112, 0.00312184845097363, 0.01496229041367769]
DY     , 2 , 12, 2701      , 	[0.0, 0.2],		[7.0, 10.0],		[-0.014701645821332932, -2.4000368284760043e-05, 0.012628423981368542]
Jpsi   , 12, 12, 5961      , 	[0.0, 0.2],		[7.0, 10.0],		[-0.01473201531916857, -0.002706033177673817, -0.00181398238055408, -0.0012245405232533813, -0.0007755012484267354, -0.0003651857259683311, 2.0246683561708775e-05, 0.0004015320155303925, 0.0008020885870791973, 0.0012637519976124167, 0.0018470502691343427, 0.0027700485661625858, 0.014825271442532541]
DY+Jpsi, 12, 12, 6411      , 	[0.0, 0.2],		[7.0, 10.0],		[-0.01473201531916857, -0.0027054778765887018, -0.0018175350269302726, -0.001226112013682723, -0.0007780793821439147, -0.00036865135189145803, 1.5293033357011154e-05, 0.00039814933552406734, 0.0007997134816832839, 0.0012593524297699332, 0.0018427519826218488, 0.0027617330197244887, 0.014825271442532541]
DY     , 12, 12, 2110      , 	[0.0, 0.2],		[10.0, 14.0],		[-0.01352017093449831, -0.0024282149970531464, -0.0016126743284985423, -0.0011054198257625103, -0.0007090576691552997, -0.000352132017724216, -9.427509212400764e-06, 0.000342534389346838, 0.0006905655027367175, 0.0010885479860007763, 0.0015632878057658672, 0.002346025314182043, 0.012139186263084412]
Jpsi   , 12, 12, 3313      , 	[0.0, 0.2],		[10.0, 14.0],		[-0.013805968686938286, -0.0024240629281848673, -0.0016266627935692668, -0.0011242732871323824, -0.0007086436380632223, -0.00034481266629882157, -6.070840186112035e-07, 0.000346379034454003, 0.0007205048459582031, 0.0011282903142273426, 0.0016450759721919894, 0.002437214832752943, 0.014508932828903197]
DY+Jpsi, 12, 12, 5424      , 	[0.0, 0.2],		[10.0, 14.0],		[-0.013805968686938286, -0.002425378188490868, -0.0016209008172154429, -0.0011165745090693235, -0.0007086959667503834, -0.00034743218566291034, -2.926868774011382e-06, 0.00034513926948420703, 0.0007087142439559102, 0.001113434904254973, 0.0016151327872648835, 0.00240865908563137, 0.014508932828903197]
DY     , 12, 12, 10032     , 	[0.0, 0.2],		[14.0, 20.0],		[-0.014307078905403614, -0.002199828624725342, -0.0014990754425525665, -0.0010378266451880336, -0.0006670869770459831, -0.00033443127176724374, -1.8773502233671024e-05, 0.0002887226000893861, 0.0006151120760478079, 0.0009788575116544962, 0.0014426212292164564, 0.0021358656231313944, 0.014664939604699612]
Jpsi   , 8 , 12, 2077      , 	[0.0, 0.2],		[14.0, 20.0],		[-0.014836952090263368, -0.0018234392628073688, -0.0010358089348301294, -0.00048149508074857295, 2.8690344606729923e-06, 0.0004676107782870531, 0.0010183509439229963, 0.0018171769334003327, 0.01352007407695055]
DY+Jpsi, 12, 12, 11416     , 	[0.0, 0.2],		[14.0, 20.0],		[-0.014836952090263368, -0.00220657791942358, -0.0015010434435680509, -0.0010375423589721322, -0.0006648607086390258, -0.000332269468344748, -1.6342017261194997e-05, 0.0002907278249040246, 0.0006182672223076224, 0.000983811100013554, 0.0014499995158985257, 0.002147141145542264, 0.014664939604699612]
DY     , 12, 12, 35000     , 	[0.0, 0.2],		[20.0, 27.0],		[-0.014954065904021263, -0.0020483911503106356, -0.0014009118312969804, -0.0009696166962385178, -0.00062032719142735, -0.0003137835883535445, -1.942697235790547e-05, 0.00027200052863918245, 0.0005807013949379325, 0.0009275497868657112, 0.001355447806417942, 0.0019923760555684566, 0.014968939125537872]
Jpsi   , 2 , 12, 2273      , 	[0.0, 0.2],		[20.0, 27.0],		[-0.01096772775053978, -1.0567867320787629e-05, 0.0091532738879323]
