all_eta_bins : [0.0, 0.2, 0.4, 0.6, 0.8, 1.0, 1.25, 1.5, 1.75, 2.0, 2.1, 2.2, 2.3, 2.4]
all_pT_bins  : [5.0, 7.0, 10.0, 14.0, 20.0, 27.0, 38.0, 50.0, 75.0, 100.0, 150.0, 200.0, 1000]

sample , bins_found, bins_wanted, muons_per_reg, 	eta_range,		pT_range,		q*d0_bins
DY+Jpsi, 12, 12, 35379     , 	[0.0, 0.2],		[20.0, 27.0],		[-0.014954065904021263, -0.0020482665859162807, -0.0014004949480295181, -0.0009692840976640582, -0.0006201702053658664, -0.00031356746330857277, -1.9234890714869834e-05, 0.0002721199416555464, 0.0005812476738356054, 0.0009279036312364042, 0.0013557553756982088, 0.0019925679080188274, 0.014968939125537872]
DY     , 12, 12, 122399    , 	[0.0, 0.2],		[27.0, 38.0],		[-0.014931019395589828, -0.0019217835506424308, -0.001317376852966845, -0.0009087575017474592, -0.0005807635025121272, -0.0002875429636333138, -1.1021794307453092e-05, 0.0002660999307408929, 0.0005597720155492425, 0.0008882667752914131, 0.0012912724632769823, 0.0018921353621408343, 0.014997119084000587]
Jpsi   , 2 , 12, 778       , 	[0.0, 0.2],		[27.0, 38.0],		[-0.009057975374162195, 3.9809005102142685e-05, 0.009843788109719752]
DY+Jpsi, 12, 12, 122529    , 	[0.0, 0.2],		[27.0, 38.0],		[-0.014931019395589828, -0.0019217458320781589, -0.0013172585749998689, -0.0009086948120966554, -0.0005806443514302373, -0.000287496077362448, -1.097158201446291e-05, 0.00026616654940880835, 0.0005598129937425256, 0.000888365728314966, 0.0012912718812003732, 0.0018922367598861456, 0.014997119084000587]
DY     , 12, 12, 154601    , 	[0.0, 0.2],		[38.0, 50.0],		[-0.014945699833333492, -0.0018326535355299711, -0.0012534832349047065, -0.0008642085012979805, -0.0005478251841850579, -0.0002650029491633177, 4.726066890725633e-06, 0.00027372228214517236, 0.0005565620958805084, 0.0008750158012844622, 0.001264070044271648, 0.0018395413644611835, 0.014955160208046436]
Jpsi   , 2 , 12, 160       , 	[0.0, 0.2],		[38.0, 50.0],		[-0.0034535771701484923, -0.00010931509314104916, 0.004678092431277037]
DY+Jpsi, 12, 12, 154628    , 	[0.0, 0.2],		[38.0, 50.0],		[-0.014945699833333492, -0.0018327337456867099, -0.0012535039568319917, -0.0008642141474410892, -0.000547831121366471, -0.0002650207607075572, 4.702972546510864e-06, 0.0002737133763730526, 0.0005565470783039927, 0.0008749794214963913, 0.0012640560744330287, 0.0018395081860944629, 0.014955160208046436]
DY     , 12, 12, 63141     , 	[0.0, 0.2],		[50.0, 75.0],		[-0.014888215810060501, -0.001761427498422563, -0.0012038529384881258, -0.000825724215246737, -0.0005170738440938294, -0.00024190658587031066, 2.176304769818671e-05, 0.00028481805929914117, 0.000562961446121335, 0.0008716040174476802, 0.0012522288598120213, 0.0018131117103621364, 0.014883781783282757]
Jpsi   , 2 , 12, 57        , 	[0.0, 0.2],		[50.0, 75.0],		[-0.0062148040160536775, -6.098614176153205e-05, 0.002895424608141184]
DY+Jpsi, 12, 12, 63151     , 	[0.0, 0.2],		[50.0, 75.0],		[-0.014888215810060501, -0.0017614088719710708, -0.001203747815452516, -0.0008257164154201746, -0.0005170975346118212, -0.00024191258125938475, 2.175711779273115e-05, 0.0002848141302820295, 0.0005629723309539258, 0.0008716083830222487, 0.0012522503966465592, 0.0018131101969629526, 0.014883781783282757]
DY     , 12, 12, 12850     , 	[0.0, 0.2],		[75.0, 100.0],		[-0.013743768446147442, -0.001716701197437942, -0.0011759354965761304, -0.0008070057956501842, -0.0005008328007534146, -0.00023009904543869197, 2.35789248108631e-05, 0.00028298734105192125, 0.0005542528815567493, 0.0008611943339928985, 0.0012242384254932404, 0.0017682425677776337, 0.01468217559158802]
Jpsi   , 2 , 12, 9         , 	[0.0, 0.2],		[75.0, 100.0],		[-0.004148978739976883, -7.331794768106191e-05, 0.0019545205868780613]
DY+Jpsi, 12, 12, 12852     , 	[0.0, 0.2],		[75.0, 100.0],		[-0.013743768446147442, -0.0017168739577755332, -0.0011759701883420348, -0.0008070057956501842, -0.0005008146981708705, -0.00023008468269836158, 2.35789248108631e-05, 0.00028298734105192125, 0.0005542428698390722, 0.0008610202930867672, 0.001224210485816002, 0.0017682425677776337, 0.01468217559158802]
DY     , 12, 12, 5707      , 	[0.0, 0.2],		[100.0, 150.0],		[-0.013963092118501663, -0.0016790051013231277, -0.0011555724777281284, -0.0007950025028549135, -0.0004940113285556436, -0.000224660339881666, 3.138310057693161e-05, 0.0002898399834521115, 0.0005631611566059291, 0.0008636724087409675, 0.001231787959113717, 0.0017776284366846085, 0.014937998726963997]
Jpsi   , 2 , 12, 1         , 	[0.0, 0.2],		[100.0, 150.0],		[-2.386133746767906e-05, -2.3861337467678823e-05, 0.000369669811334461]
DY+Jpsi, 12, 12, 5707      , 	[0.0, 0.2],		[100.0, 150.0],		[-0.013963092118501663, -0.0016790051013231277, -0.0011555724777281284, -0.0007950025028549135, -0.0004940113285556436, -0.000224660339881666, 3.134947473881766e-05, 0.00028976850444450974, 0.0005629212828353047, 0.0008636597194708884, 0.001231787959113717, 0.0017776284366846085, 0.014937998726963997]
DY     , 6 , 12, 2243      , 	[0.0, 0.2],		[150.0, 200.0],		[-0.010298129171133041, -0.001145601854659617, -0.0004827857483178377, 4.3196378101129085e-05, 0.0005695323925465345, 0.0012296967906877398, 0.012674445286393166]
Jpsi   , -1, 12, 0         , 	[0.0, 0.2],		[150.0, 200.0],		[None, None]
DY+Jpsi, 6 , 12, 2243      , 	[0.0, 0.2],		[150.0, 200.0],		[-0.010298129171133041, -0.001145601854659617, -0.0004827857483178377, 4.3196378101129085e-05, 0.0005695323925465345, 0.0012296967906877398, 0.012674445286393166]
DY     , 3 , 12, 2217      , 	[0.0, 0.2],		[200.0, 1000],		[-0.011546067893505096, -0.00044348390656523407, 0.0005842125392518938, 0.007474492769688368]
Jpsi   , 2 , 12, 0         , 	[0.0, 0.2],		[200.0, 1000],		[0.0009514887351542618, 0.0009514887351542713, 0.0009514887351542713]
DY+Jpsi, 3 , 12, 2217      , 	[0.0, 0.2],		[200.0, 1000],		[-0.011546067893505096, -0.00044348390656523407, 0.0005842125392518938, 0.007474492769688368]

sample , bins_found, bins_wanted, muons_per_reg, 	eta_range,		pT_range,		q*d0_bins
DY     , 2 , 12, 550       , 	[0.2, 0.4],		[5.0, 7.0],		[-0.01088931318372488, -0.00015769492893014103, 0.013102336786687374]
Jpsi   , 12, 12, 7230      , 	[0.2, 0.4],		[5.0, 7.0],		[-0.014854121953248978, -0.003144771093502641, -0.002084539271891117, -0.0014055545907467606, -0.000877976359333843, -0.0004169444437138736, 1.797984805307351e-05, 0.0004553291364572941, 0.0009234132594428957, 0.0014519296819344165, 0.0021308085415512323, 0.0031956210732460018, 0.014857927337288857]
DY+Jpsi, 12, 12, 7322      , 	[0.2, 0.4],		[5.0, 7.0],		[-0.014854121953248978, -0.003145327558740973, -0.002085738815367222, -0.0014082697452977302, -0.0008798848139122127, -0.00041904079262167215, 1.5591182091156952e-05, 0.000453491200460121, 0.0009219901985488832, 0.0014491480542346835, 0.002125968225300312, 0.0031915591098368172, 0.014857927337288857]
DY     , 3 , 12, 2078      , 	[0.2, 0.4],		[7.0, 10.0],		[-0.011471828445792198, -0.0008524523582309484, 0.0007476491155102849, 0.014116586185991764]
Jpsi   , 12, 12, 5884      , 	[0.2, 0.4],		[7.0, 10.0],		[-0.014810425229370594, -0.002780933398753405, -0.0018643174553290012, -0.0012654187157750132, -0.0007981462986208497, -0.0003767122980207205, 8.263801646535285e-06, 0.0003912044048774988, 0.0008077080128714442, 0.0012742632534354925, 0.0018654639134183528, 0.0027615069411695004, 0.014785642735660074]
DY+Jpsi, 12, 12, 6403      , 	[0.2, 0.4],		[7.0, 10.0],		[-0.014810425229370594, -0.002779774833470583, -0.0018638214096426964, -0.0012667851988226175, -0.0008037958759814501, -0.00038079614751040936, 3.3440539937146237e-06, 0.0003869712527375668, 0.0008025118731893599, 0.001266401493921876, 0.0018597739981487396, 0.0027509210631251326, 0.014785642735660074]
DY     , 12, 12, 2281      , 	[0.2, 0.4],		[10.0, 14.0],		[-0.012168701738119125, -0.002489019650965929, -0.0016902690986171365, -0.0011672694236040115, -0.0007608078885823488, -0.00039449005271308124, -6.345415749819949e-05, 0.000285021640593186, 0.0006585544324479997, 0.0010755411349236965, 0.0016125155379995704, 0.002426133956760168, 0.013304001651704311]
Jpsi   , 12, 12, 3259      , 	[0.2, 0.4],		[10.0, 14.0],		[-0.013786811381578444, -0.0024828463792800908, -0.0016577974893152714, -0.0011173407547175882, -0.0007032537250779568, -0.000330950046190992, 2.10266971407691e-05, 0.0003839069977402687, 0.0007564111729152501, 0.0011846483685076235, 0.0017149598570540547, 0.0025463434867560863, 0.012589171528816223]
DY+Jpsi, 12, 12, 5540      , 	[0.2, 0.4],		[10.0, 14.0],		[-0.013786811381578444, -0.0024864762090146537, -0.0016712559154257178, -0.001135634258389473, -0.0007244136068038642, -0.00036010731128044426, -1.5088236978044733e-05, 0.0003420262655708939, 0.0007168275187723339, 0.0011394907487556338, 0.0016746864421293142, 0.0024993298575282093, 0.013304001651704311]
DY     , 12, 12, 10389     , 	[0.2, 0.4],		[14.0, 20.0],		[-0.014722244814038277, -0.0022507247049361467, -0.001523994142189622, -0.0010482611833140254, -0.0006695492193102837, -0.0003425519389566034, -2.27378259296529e-05, 0.000297134363790974, 0.0006287448341026902, 0.0010038900654762983, 0.001474590739235282, 0.0021843896247446537, 0.013763525523245335]
Jpsi   , 8 , 12, 2051      , 	[0.2, 0.4],		[14.0, 20.0],		[-0.012650756165385245, -0.0018107129726558926, -0.0010385748464614153, -0.00047310016816481953, 1.945516123669222e-05, 0.0005047629238106309, 0.0010627990122884512, 0.0018520326120778923, 0.010609424673020841]
DY+Jpsi, 12, 12, 11756     , 	[0.2, 0.4],		[14.0, 20.0],		[-0.014722244814038277, -0.0022451989352703094, -0.0015216475585475564, -0.0010469193803146482, -0.0006673840107396245, -0.0003379212867002934, -1.813262679206673e-05, 0.00030177313601598144, 0.0006333792116492987, 0.0010107040870934725, 0.0014823951059952378, 0.0021940155420452356, 0.013763525523245335]
DY     , 12, 12, 34697     , 	[0.2, 0.4],		[20.0, 27.0],		[-0.014868201687932014, -0.0020671056117862463, -0.0014131005154922605, -0.0009791097836568952, -0.0006293454207479954, -0.000316826393827796, -2.1035097233834676e-05, 0.00027636956656351686, 0.0005871856701560318, 0.0009398162947036326, 0.0013732154620811343, 0.002025448717176914, 0.014709118753671646]
Jpsi   , 2 , 12, 2270      , 	[0.2, 0.4],		[20.0, 27.0],		[-0.014772495254874231, 1.829367829486728e-05, 0.009168792515993118]
DY+Jpsi, 12, 12, 35075     , 	[0.2, 0.4],		[20.0, 27.0],		[-0.014868201687932014, -0.0020677237771451473, -0.0014126126188784838, -0.0009789422620087862, -0.0006287876167334616, -0.00031637976644560695, -2.0518638848443516e-05, 0.0002769084239844233, 0.0005880494718439877, 0.0009407208999618888, 0.0013743587769567966, 0.002026535803452134, 0.014709118753671646]
DY     , 12, 12, 118729    , 	[0.2, 0.4],		[27.0, 38.0],		[-0.014866907149553299, -0.0019397230353206396, -0.0013307491317391396, -0.0009218992199748755, -0.0005898475646972656, -0.0002943762519862503, -1.377431362925563e-05, 0.00026691443054005504, 0.0005632604588754475, 0.0008938282844610512, 0.0013012273702770472, 0.00190727598965168, 0.01498426590114832]
Jpsi   , 2 , 12, 755       , 	[0.2, 0.4],		[27.0, 38.0],		[-0.00508238235488534, 5.2062468967051245e-06, 0.0064871255308389655]
DY+Jpsi, 12, 12, 118854    , 	[0.2, 0.4],		[27.0, 38.0],		[-0.014866907149553299, -0.0019396455027163029, -0.001330775092355907, -0.000921901548281312, -0.0005898128729313612, -0.00029432395240291953, -1.3743689123657532e-05, 0.0002669461537152529, 0.0005632752436213195, 0.0008938799146562815, 0.001301328418776393, 0.0019074202282354236, 0.01498426590114832]
DY     , 12, 12, 152942    , 	[0.2, 0.4],		[38.0, 50.0],		[-0.014791944064199924, -0.0018361633410677314, -0.0012572481064125896, -0.0008677773294039071, -0.0005493853241205215, -0.000265157112153247, 5.792168394691544e-06, 0.0002763537922874093, 0.0005614027031697333, 0.000879874627571553, 0.001272244961000979, 0.0018518664874136448, 0.014863232150673866]
Jpsi   , 2 , 12, 150       , 	[0.2, 0.4],		[38.0, 50.0],		[-0.0043981270864605895, 2.382401544309687e-05, 0.005863300524652004]
DY+Jpsi, 12, 12, 152967    , 	[0.2, 0.4],		[38.0, 50.0],		[-0.014791944064199924, -0.0018362065311521292, -0.001257278141565621, -0.0008677773294039071, -0.000549379619769752, -0.000265157112153247, 5.7936549637815915e-06, 0.00027635946753434837, 0.0005614159745164216, 0.0008798808557912707, 0.0012722501996904612, 0.0018519200384616852, 0.014863232150673866]
DY     , 12, 12, 62421     , 	[0.2, 0.4],		[50.0, 75.0],		[-0.01480244379490614, -0.0017535618972033262, -0.0011987790931016207, -0.0008224877528846264, -0.0005136491381563246, -0.00023821457580197603, 2.449048224661965e-05, 0.00028553951415233314, 0.0005635663983412087, 0.0008727572858333588, 0.0012529862578958273, 0.0018138139275833964, 0.014797616750001907]
Jpsi   , 2 , 12, 50        , 	[0.2, 0.4],		[50.0, 75.0],		[-0.007970482110977173, 4.3812360672745854e-05, 0.0038638815749436617]
DY+Jpsi, 12, 12, 62430     , 	[0.2, 0.4],		[50.0, 75.0],		[-0.01480244379490614, -0.001753572141751647, -0.001198764075525105, -0.0008224711054936051, -0.0005136209656484425, -0.00023820105707272887, 2.4492554075550288e-05, 0.0002855554921552539, 0.0005635663983412087, 0.0008727558888494968, 0.0012529903324320912, 0.0018138663144782186, 0.014797616750001907]
DY     , 12, 12, 12594     , 	[0.2, 0.4],		[75.0, 100.0],		[-0.014616429805755615, -0.0017089254688471556, -0.0011661314638331532, -0.0008015385828912258, -0.000503325427416712, -0.0002341060753678903, 2.415616654616315e-05, 0.0002826714771799743, 0.0005516639212146401, 0.000851022603455931, 0.00122228660620749, 0.0017670559464022517, 0.014694091863930225]
Jpsi   , 2 , 12, 2         , 	[0.2, 0.4],		[75.0, 100.0],		[-0.002646537031978369, -0.002314166165888309, 0.0009039083961397408]
DY+Jpsi, 12, 12, 12594     , 	[0.2, 0.4],		[75.0, 100.0],		[-0.014616429805755615, -0.0017089982284232974, -0.0011662355391308665, -0.0008015771745704114, -0.0005033385823480785, -0.0002341060753678903, 2.4199918698286638e-05, 0.0002826839336194098, 0.0005516866804100573, 0.0008510650368407369, 0.00122228660620749, 0.0017670559464022517, 0.014694091863930225]
DY     , 12, 12, 5616      , 	[0.2, 0.4],		[100.0, 150.0],		[-0.009160570800304413, -0.0016659244429320097, -0.0011330008273944259, -0.0007661089766770601, -0.0004721940204035491, -0.0002033542114077136, 5.087268800707534e-05, 0.0003043843898922205, 0.0005690653342753649, 0.0008651326643303037, 0.0012355123180896044, 0.0017749278340488672, 0.01331315841525793]
Jpsi   , 2 , 12, 1         , 	[0.2, 0.4],		[100.0, 150.0],		[-0.002164384117350004, -0.0021643841173499823, 0.003260578727349639]
DY+Jpsi, 12, 12, 5616      , 	[0.2, 0.4],		[100.0, 150.0],		[-0.009160570800304413, -0.0016659307293593884, -0.0011330245761200786, -0.0007661717245355248, -0.0004721940204035491, -0.0002033542114077136, 5.0896334869321436e-05, 0.0003044047043658793, 0.0005690858815796673, 0.000865170091856271, 0.0012356207007542253, 0.0017749660182744265, 0.01331315841525793]
DY     , 6 , 12, 2222      , 	[0.2, 0.4],		[150.0, 200.0],		[-0.00906040146946907, -0.0011125170858576894, -0.00045875521027483046, 5.617856731987558e-05, 0.0005649963277392089, 0.0012371299089863896, 0.008484589867293835]
Jpsi   , 2 , 12, 0         , 	[0.2, 0.4],		[150.0, 200.0],		[0.0008345748065039431, 0.0008345748065039514, 0.0008345748065039514]
DY+Jpsi, 6 , 12, 2222      , 	[0.2, 0.4],		[150.0, 200.0],		[-0.00906040146946907, -0.0011125170858576894, -0.00045875521027483046, 5.6213713833130896e-05, 0.0005651541869156063, 0.0012371299089863896, 0.008484589867293835]
DY     , 3 , 12, 2249      , 	[0.2, 0.4],		[200.0, 1000],		[-0.0048769088461995125, -0.0004544035473372787, 0.0005322967772372067, 0.006430446170270443]
Jpsi   , 2 , 12, 0         , 	[0.2, 0.4],		[200.0, 1000],		[-4.815432839677717e-05, -4.815432839677669e-05, -4.815432839677669e-05]
DY+Jpsi, 3 , 12, 2249      , 	[0.2, 0.4],		[200.0, 1000],		[-0.0048769088461995125, -0.0004544035473372787, 0.0005307304090820253, 0.006430446170270443]

sample , bins_found, bins_wanted, muons_per_reg, 	eta_range,		pT_range,		q*d0_bins
DY     , 2 , 12, 732       , 	[0.4, 0.6],		[5.0, 7.0],		[-0.010387481190264225, 2.09612389880931e-05, 0.009749041870236397]
Jpsi   , 12, 12, 7231      , 	[0.4, 0.6],		[5.0, 7.0],		[-0.014860308729112147, -0.003205313114449382, -0.0021134829148650174, -0.0014377869665622713, -0.0008911621407605707, -0.0004207261663395912, 2.4342882170458324e-05, 0.0004650556365959346, 0.0009289116715081037, 0.0014559425180777907, 0.0021414125803858037, 0.003195266937837005, 0.014950300566852091]
DY+Jpsi, 12, 12, 7353      , 	[0.4, 0.6],		[5.0, 7.0],		[-0.014860308729112147, -0.003205805784091353, -0.00211370992474258, -0.0014381891814991832, -0.0008910742471925914, -0.0004207261663395912, 2.425713319098577e-05, 0.00046543581993319094, 0.0009284118423238397, 0.0014552534557878971, 0.00213897624053061, 0.00319527555257082, 0.014950300566852091]
DY     , 3 , 12, 2591      , 	[0.4, 0.6],		[7.0, 10.0],		[-0.011743742041289806, -0.0008484786376357079, 0.0007536046905443072, 0.013642835430800915]
Jpsi   , 12, 12, 5809      , 	[0.4, 0.6],		[7.0, 10.0],		[-0.014762340113520622, -0.0028185751289129253, -0.0018777179066091774, -0.0012717369245365262, -0.0007943693199194968, -0.00036793021718040114, 1.855646951298695e-05, 0.00041747509385459125, 0.0008248999365605414, 0.001291390391997993, 0.0018959661247208714, 0.0028450803365558386, 0.014952619560062884]
DY+Jpsi, 12, 12, 6457      , 	[0.4, 0.6],		[7.0, 10.0],		[-0.014762340113520622, -0.0028218799270689487, -0.0018828357569873333, -0.0012757142540067436, -0.0007994920597411692, -0.000372171780327335, 1.3852265510649884e-05, 0.0004097993660252541, 0.0008181396406143904, 0.001283003599382937, 0.0018879189155995848, 0.0028387412894517183, 0.014952619560062884]
DY     , 12, 12, 2558      , 	[0.4, 0.6],		[10.0, 14.0],		[-0.01329707633703947, -0.002492578001692891, -0.001681975438259542, -0.0011599749559536576, -0.0007418240420520306, -0.0003822980506811291, -3.103609924437478e-05, 0.00032105285208672285, 0.0006845624884590507, 0.0010950644500553608, 0.0016071596182882786, 0.0024397396482527256, 0.013826890848577023]
Jpsi   , 12, 12, 3179      , 	[0.4, 0.6],		[10.0, 14.0],		[-0.013128193095326424, -0.0025089404080063105, -0.0016785699408501387, -0.0011418217327445743, -0.0007090955041348933, -0.00032192736398428684, 3.4221291571157046e-05, 0.0003873997484333813, 0.0007645402802154423, 0.001182268722914159, 0.0017146278405562045, 0.002561017172411084, 0.014446718618273737]
DY+Jpsi, 12, 12, 5738      , 	[0.4, 0.6],		[10.0, 14.0],		[-0.01329707633703947, -0.002501846989616752, -0.0016787841450423002, -0.0011499014217406511, -0.0007237780373543501, -0.0003494751290418208, 4.853567133977776e-06, 0.0003569968685042113, 0.0007277405820786953, 0.001143630244769156, 0.00167061819229275, 0.002504212548956275, 0.014446718618273737]
DY     , 12, 12, 11357     , 	[0.4, 0.6],		[14.0, 20.0],		[-0.014148494228720665, -0.002269008196890354, -0.0015430928906425834, -0.0010680282721295953, -0.0006914397235959768, -0.0003565357765182853, -3.712290708790533e-05, 0.0002830925805028528, 0.0006202489021234214, 0.0009906308259814978, 0.0014690393581986427, 0.002193116582930088, 0.014262729324400425]
Jpsi   , 8 , 12, 2006      , 	[0.4, 0.6],		[14.0, 20.0],		[-0.011206627823412418, -0.0018843868747353554, -0.0010860409820452332, -0.0005096971290186048, -1.032467480399646e-05, 0.0005090212798677385, 0.001070974161848426, 0.0018705683760344984, 0.014021099545061588]
DY+Jpsi, 12, 12, 12695     , 	[0.4, 0.6],		[14.0, 20.0],		[-0.014148494228720665, -0.0022733882069587708, -0.0015438791597262025, -0.001069833291694522, -0.0006908341310918331, -0.0003540022880770266, -3.4028911613859236e-05, 0.00028706411831080914, 0.0006261611124500632, 0.0010005541844293475, 0.0014771100832149386, 0.002202407456934452, 0.014262729324400425]
DY     , 12, 12, 34481     , 	[0.4, 0.6],		[20.0, 27.0],		[-0.014904554933309555, -0.0020949116442352533, -0.0014297876041382551, -0.0009900018339976668, -0.0006335350917652249, -0.00031644036062061787, -2.1364496205933392e-05, 0.00027897258405573666, 0.0005934690125286579, 0.000948333356063813, 0.0013852025149390101, 0.002042065840214491, 0.01498096901923418]
Jpsi   , 2 , 12, 2150      , 	[0.4, 0.6],		[20.0, 27.0],		[-0.0087007200345397, 1.1426141099946108e-05, 0.0069750864058732995]
DY+Jpsi, 12, 12, 34840     , 	[0.4, 0.6],		[20.0, 27.0],		[-0.014904554933309555, -0.002094722120091319, -0.001429383410140872, -0.0009898151038214564, -0.0006333490600809455, -0.00031612830935046077, -2.0967816453776322e-05, 0.00027935602702200413, 0.0005936720408499241, 0.0009484727634117007, 0.0013855129946023226, 0.002042439766228199, 0.01498096901923418]
DY     , 12, 12, 112569    , 	[0.4, 0.6],		[27.0, 38.0],		[-0.014871327206492424, -0.0019490146078169346, -0.0013381211319938302, -0.0009282574756070971, -0.0005959250847809017, -0.00030084929312579334, -1.8423033907311037e-05, 0.0002653167175594717, 0.000561704277060926, 0.0008931213524192572, 0.0013013099087402225, 0.00191031105350703, 0.014833174645900726]
Jpsi   , 2 , 12, 735       , 	[0.4, 0.6],		[27.0, 38.0],		[-0.005301760043948889, 2.851105273293797e-05, 0.009058335795998572]
DY+Jpsi, 12, 12, 112692    , 	[0.4, 0.6],		[27.0, 38.0],		[-0.014871327206492424, -0.0019489836413413286, -0.0013380752643570304, -0.0009281887905672193, -0.0005958473775535822, -0.0003007708874065429, -1.8348429875914007e-05, 0.00026534960488788784, 0.0005617786664515734, 0.0008931570337153971, 0.0013013766147196293, 0.0019105756655335426, 0.014833174645900726]
DY     , 12, 12, 150211    , 	[0.4, 0.6],		[38.0, 50.0],		[-0.014857066795229912, -0.0018414831720292568, -0.0012596191372722387, -0.0008687893277965486, -0.0005489283939823508, -0.00026422637165524065, 6.749109616066562e-06, 0.00027815127396024764, 0.0005632467218674719, 0.0008812703308649361, 0.0012741000391542912, 0.001858056173659861, 0.014290482737123966]
Jpsi   , 2 , 12, 153       , 	[0.4, 0.6],		[38.0, 50.0],		[-0.003952384926378727, 5.250327376415953e-05, 0.005151005927473307]
