n_per_reg, 8824, eta, 0.4, 0.6,  pT, 5.0, 7.0,	    q*d0_bins, -0.01486, -0.00292, -0.00182, -0.0011, -0.00051, 2e-05, 0.00055, 0.00112, 0.00184, 0.00293, 0.01495
n_per_reg, 7749, eta, 0.4, 0.6,  pT, 7.0, 10.0,	    q*d0_bins, -0.01476, -0.00258, -0.00162, -0.00099, -0.00045, 1e-05, 0.00049, 0.00099, 0.00162, 0.00259, 0.01495
n_per_reg, 6886, eta, 0.4, 0.6,  pT, 10.0, 14.0,	    q*d0_bins, -0.0133, -0.00229, -0.00145, -0.00089, -0.00042, 0.0, 0.00043, 0.00089, 0.00144, 0.0023, 0.01445
n_per_reg, 15234, eta, 0.4, 0.6,  pT, 14.0, 20.0,	    q*d0_bins, -0.01415, -0.00209, -0.00133, -0.00084, -0.00042, -3e-05, 0.00035, 0.00077, 0.00127, 0.00202, 0.01426
n_per_reg, 41808, eta, 0.4, 0.6,  pT, 20.0, 27.0,	    q*d0_bins, -0.0149, -0.00192, -0.00124, -0.00077, -0.00038, -2e-05, 0.00034, 0.00073, 0.0012, 0.00188, 0.01498
n_per_reg, 135230, eta, 0.4, 0.6,  pT, 27.0, 38.0,	    q*d0_bins, -0.01487, -0.0018, -0.00116, -0.00072, -0.00036, -2e-05, 0.00032, 0.00069, 0.00112, 0.00176, 0.01483
n_per_reg, 180284, eta, 0.4, 0.6,  pT, 38.0, 50.0,	    q*d0_bins, -0.01486, -0.0017, -0.00109, -0.00067, -0.00032, 1e-05, 0.00033, 0.00069, 0.0011, 0.00171, 0.01429
n_per_reg, 73262, eta, 0.4, 0.6,  pT, 50.0, 75.0,	    q*d0_bins, -0.01427, -0.00162, -0.00104, -0.00063, -0.00029, 3e-05, 0.00034, 0.00068, 0.00109, 0.00167, 0.01428
n_per_reg, 14717, eta, 0.4, 0.6,  pT, 75.0, 100.0,	    q*d0_bins, -0.01444, -0.00158, -0.00102, -0.00062, -0.00029, 2e-05, 0.00033, 0.00067, 0.00106, 0.00164, 0.01144
n_per_reg, 6504, eta, 0.4, 0.6,  pT, 100.0, 150.0,	q*d0_bins, -0.01021, -0.00152, -0.00098, -0.00059, -0.00027, 4e-05, 0.00034, 0.00066, 0.00105, 0.00163, 0.01086
n_per_reg, 1290, eta, 0.4, 0.6,  pT, 150.0, 200.0,	q*d0_bins, -0.00882, -0.00154, -0.001, -0.0006, -0.00028, 3e-05, 0.00033, 0.00067, 0.00105, 0.00159, 0.00992
n_per_reg, 657, eta, 0.4, 0.6,  pT, 200.0, 1000,	    q*d0_bins, -0.00462, -0.00143, -0.0009, -0.00053, -0.00022, 7e-05, 0.00035, 0.00065, 0.00101, 0.00154, 0.00452
n_per_reg, 8654, eta, 0.6, 0.8,  pT, 5.0, 7.0,	    q*d0_bins, -0.01475, -0.00294, -0.00184, -0.00112, -0.00053, -1e-05, 0.00052, 0.00111, 0.00185, 0.003, 0.01499
n_per_reg, 7775, eta, 0.6, 0.8,  pT, 7.0, 10.0,	    q*d0_bins, -0.0147, -0.00259, -0.00162, -0.00098, -0.00046, 2e-05, 0.00049, 0.001, 0.00163, 0.00262, 0.0142
n_per_reg, 7363, eta, 0.6, 0.8,  pT, 10.0, 14.0,	    q*d0_bins, -0.01432, -0.00231, -0.00146, -0.00089, -0.00042, -0.0, 0.00043, 0.00089, 0.00146, 0.0023, 0.01367
n_per_reg, 16922, eta, 0.6, 0.8,  pT, 14.0, 20.0,	    q*d0_bins, -0.01457, -0.0021, -0.00134, -0.00084, -0.00041, -3e-05, 0.00036, 0.00078, 0.00129, 0.00204, 0.01318
n_per_reg, 41316, eta, 0.6, 0.8,  pT, 20.0, 27.0,	    q*d0_bins, -0.01498, -0.00193, -0.00124, -0.00077, -0.00038, -2e-05, 0.00034, 0.00073, 0.0012, 0.00189, 0.01499
n_per_reg, 126027, eta, 0.6, 0.8,  pT, 27.0, 38.0,	    q*d0_bins, -0.01495, -0.0018, -0.00116, -0.00072, -0.00036, -2e-05, 0.00032, 0.00069, 0.00112, 0.00176, 0.01483
n_per_reg, 176833, eta, 0.6, 0.8,  pT, 38.0, 50.0,	    q*d0_bins, -0.01459, -0.0017, -0.00109, -0.00067, -0.00032, 0.0, 0.00033, 0.00068, 0.0011, 0.00171, 0.01487
n_per_reg, 71359, eta, 0.6, 0.8,  pT, 50.0, 75.0,	    q*d0_bins, -0.01492, -0.00161, -0.00103, -0.00063, -0.00029, 2e-05, 0.00034, 0.00068, 0.00108, 0.00167, 0.01445
n_per_reg, 14161, eta, 0.6, 0.8,  pT, 75.0, 100.0,	    q*d0_bins, -0.01174, -0.00155, -0.00099, -0.00061, -0.00028, 3e-05, 0.00033, 0.00066, 0.00105, 0.00162, 0.01365
n_per_reg, 6271, eta, 0.6, 0.8,  pT, 100.0, 150.0,	q*d0_bins, -0.01042, -0.00151, -0.00097, -0.00059, -0.00027, 3e-05, 0.00033, 0.00066, 0.00105, 0.0016, 0.01456
n_per_reg, 1251, eta, 0.6, 0.8,  pT, 150.0, 200.0,	q*d0_bins, -0.0061, -0.00149, -0.00097, -0.00057, -0.00026, 3e-05, 0.00034, 0.00065, 0.00103, 0.00157, 0.01095
n_per_reg, 624, eta, 0.6, 0.8,  pT, 200.0, 1000,	    q*d0_bins, -0.00677, -0.00143, -0.00089, -0.00055, -0.00025, 4e-05, 0.00033, 0.00066, 0.00105, 0.00156, 0.00769
n_per_reg, 8572, eta, 0.8, 1.0,  pT, 5.0, 7.0,	    q*d0_bins, -0.01479, -0.00304, -0.00188, -0.00112, -0.00052, 3e-05, 0.00058, 0.0012, 0.00195, 0.00315, 0.0147
n_per_reg, 7957, eta, 0.8, 1.0,  pT, 7.0, 10.0,	    q*d0_bins, -0.01496, -0.00268, -0.00166, -0.001, -0.00046, 3e-05, 0.0005, 0.00104, 0.00168, 0.0027, 0.01497
n_per_reg, 7913, eta, 0.8, 1.0,  pT, 10.0, 14.0,	    q*d0_bins, -0.01419, -0.00239, -0.00149, -0.00091, -0.00043, -0.0, 0.00044, 0.00091, 0.0015, 0.0024, 0.01438
n_per_reg, 18713, eta, 0.8, 1.0,  pT, 14.0, 20.0,	    q*d0_bins, -0.01493, -0.00218, -0.00138, -0.00085, -0.00042, -2e-05, 0.00037, 0.0008, 0.00132, 0.00211, 0.01481
n_per_reg, 40732, eta, 0.8, 1.0,  pT, 20.0, 27.0,	    q*d0_bins, -0.01474, -0.002, -0.00128, -0.00079, -0.00039, -2e-05, 0.00034, 0.00074, 0.00122, 0.00193, 0.01477
n_per_reg, 117594, eta, 0.8, 1.0,  pT, 27.0, 38.0,	    q*d0_bins, -0.01495, -0.00186, -0.0012, -0.00075, -0.00037, -3e-05, 0.00032, 0.00069, 0.00113, 0.00179, 0.01471
n_per_reg, 173419, eta, 0.8, 1.0,  pT, 38.0, 50.0,	    q*d0_bins, -0.01481, -0.00173, -0.00111, -0.00068, -0.00033, 0.0, 0.00033, 0.00069, 0.00112, 0.00174, 0.01454
n_per_reg, 69690, eta, 0.8, 1.0,  pT, 50.0, 75.0,	    q*d0_bins, -0.01465, -0.00163, -0.00103, -0.00063, -0.00029, 3e-05, 0.00035, 0.00069, 0.0011, 0.00171, 0.015
n_per_reg, 13776, eta, 0.8, 1.0,  pT, 75.0, 100.0,	    q*d0_bins, -0.01471, -0.00157, -0.001, -0.00061, -0.00028, 3e-05, 0.00033, 0.00067, 0.00107, 0.00164, 0.01254
n_per_reg, 6045, eta, 0.8, 1.0,  pT, 100.0, 150.0,	q*d0_bins, -0.01107, -0.00154, -0.00098, -0.0006, -0.00027, 3e-05, 0.00034, 0.00066, 0.00104, 0.00161, 0.01245
n_per_reg, 1174, eta, 0.8, 1.0,  pT, 150.0, 200.0,	q*d0_bins, -0.01002, -0.00152, -0.00095, -0.00059, -0.00026, 2e-05, 0.00032, 0.00065, 0.00104, 0.00159, 0.01352
n_per_reg, 618, eta, 0.8, 1.0,  pT, 200.0, 1000,	    q*d0_bins, -0.00536, -0.00142, -0.00091, -0.00055, -0.00024, 3e-05, 0.00033, 0.00065, 0.00101, 0.00156, 0.01078
n_per_reg, 10295, eta, 1.0, 1.25,  pT, 5.0, 7.0,	    q*d0_bins, -0.01482, -0.00314, -0.00193, -0.00116, -0.00054, 3e-05, 0.00059, 0.00122, 0.002, 0.00322, 0.01475
n_per_reg, 9802, eta, 1.0, 1.25,  pT, 7.0, 10.0,	    q*d0_bins, -0.01487, -0.00275, -0.00168, -0.00101, -0.00048, 1e-05, 0.00051, 0.00105, 0.00174, 0.00278, 0.0149
n_per_reg, 10532, eta, 1.0, 1.25,  pT, 10.0, 14.0,	    q*d0_bins, -0.01445, -0.00245, -0.00153, -0.00092, -0.00045, -1e-05, 0.00043, 0.00091, 0.00151, 0.00242, 0.01484
n_per_reg, 24698, eta, 1.0, 1.25,  pT, 14.0, 20.0,	    q*d0_bins, -0.01471, -0.00222, -0.00141, -0.00088, -0.00044, -4e-05, 0.00036, 0.00079, 0.00132, 0.00213, 0.01479
n_per_reg, 48092, eta, 1.0, 1.25,  pT, 20.0, 27.0,	    q*d0_bins, -0.01499, -0.00204, -0.0013, -0.00081, -0.0004, -3e-05, 0.00034, 0.00074, 0.00123, 0.00196, 0.01465
n_per_reg, 131312, eta, 1.0, 1.25,  pT, 27.0, 38.0,	    q*d0_bins, -0.01498, -0.00189, -0.00121, -0.00076, -0.00038, -3e-05, 0.00032, 0.00069, 0.00114, 0.00181, 0.01499
n_per_reg, 202810, eta, 1.0, 1.25,  pT, 38.0, 50.0,	    q*d0_bins, -0.01498, -0.00174, -0.00111, -0.00068, -0.00032, 1e-05, 0.00034, 0.0007, 0.00113, 0.00177, 0.01498
n_per_reg, 80965, eta, 1.0, 1.25,  pT, 50.0, 75.0,	    q*d0_bins, -0.01497, -0.00162, -0.00103, -0.00062, -0.00028, 4e-05, 0.00036, 0.0007, 0.00112, 0.00172, 0.01489
n_per_reg, 15848, eta, 1.0, 1.25,  pT, 75.0, 100.0,	q*d0_bins, -0.01407, -0.00156, -0.00099, -0.0006, -0.00027, 4e-05, 0.00034, 0.00067, 0.00106, 0.00164, 0.01474
n_per_reg, 6961, eta, 1.0, 1.25,  pT, 100.0, 150.0,	q*d0_bins, -0.00996, -0.0015, -0.00095, -0.00058, -0.00025, 5e-05, 0.00034, 0.00067, 0.00106, 0.00161, 0.01454
n_per_reg, 1341, eta, 1.0, 1.25,  pT, 150.0, 200.0,	q*d0_bins, -0.01245, -0.00147, -0.00093, -0.00054, -0.00022, 7e-05, 0.00037, 0.00068, 0.00107, 0.00161, 0.01259
n_per_reg, 715, eta, 1.0, 1.25,  pT, 200.0, 1000,	q*d0_bins, -0.00785, -0.00142, -0.00089, -0.00053, -0.00023, 4e-05, 0.00035, 0.00066, 0.00105, 0.00156, 0.01394
n_per_reg, 10100, eta, 1.25, 1.5,  pT, 5.0, 7.0,	    q*d0_bins, -0.01475, -0.00328, -0.00202, -0.00124, -0.00061, -4e-05, 0.00053, 0.00117, 0.00194, 0.00318, 0.01488
n_per_reg, 9929, eta, 1.25, 1.5,  pT, 7.0, 10.0,	    q*d0_bins, -0.0148, -0.00282, -0.00174, -0.00106, -0.00053, -3e-05, 0.00047, 0.001, 0.00169, 0.00276, 0.01438
n_per_reg, 11563, eta, 1.25, 1.5,  pT, 10.0, 14.0,	    q*d0_bins, -0.01488, -0.00256, -0.00161, -0.001, -0.0005, -5e-05, 0.00039, 0.00088, 0.00147, 0.00241, 0.01473
n_per_reg, 25490, eta, 1.25, 1.5,  pT, 14.0, 20.0,	    q*d0_bins, -0.01485, -0.00231, -0.00145, -0.0009, -0.00046, -6e-05, 0.00035, 0.00079, 0.00132, 0.00215, 0.015
n_per_reg, 45907, eta, 1.25, 1.5,  pT, 20.0, 27.0,	    q*d0_bins, -0.015, -0.0021, -0.00133, -0.00083, -0.00042, -5e-05, 0.00033, 0.00073, 0.00123, 0.00197, 0.01497
n_per_reg, 117577, eta, 1.25, 1.5,  pT, 27.0, 38.0,	    q*d0_bins, -0.01497, -0.00192, -0.00122, -0.00077, -0.00039, -4e-05, 0.00031, 0.00069, 0.00114, 0.00182, 0.01499
n_per_reg, 182694, eta, 1.25, 1.5,  pT, 38.0, 50.0,	    q*d0_bins, -0.01497, -0.00174, -0.00111, -0.00068, -0.00033, 0.0, 0.00033, 0.00069, 0.00112, 0.00176, 0.01497
n_per_reg, 73503, eta, 1.25, 1.5,  pT, 50.0, 75.0,	    q*d0_bins, -0.01493, -0.00161, -0.00102, -0.00061, -0.00027, 4e-05, 0.00035, 0.00069, 0.0011, 0.0017, 0.01498
n_per_reg, 14137, eta, 1.25, 1.5,  pT, 75.0, 100.0,	q*d0_bins, -0.01493, -0.00154, -0.00098, -0.0006, -0.00027, 3e-05, 0.00032, 0.00065, 0.00103, 0.0016, 0.01487
n_per_reg, 6128, eta, 1.25, 1.5,  pT, 100.0, 150.0,	q*d0_bins, -0.01487, -0.00147, -0.00094, -0.00056, -0.00025, 4e-05, 0.00033, 0.00064, 0.00102, 0.00157, 0.01448
n_per_reg, 1200, eta, 1.25, 1.5,  pT, 150.0, 200.0,	q*d0_bins, -0.00649, -0.00145, -0.00092, -0.00054, -0.00023, 6e-05, 0.00034, 0.00065, 0.00103, 0.00156, 0.01115
n_per_reg, 625, eta, 1.25, 1.5,  pT, 200.0, 1000,	q*d0_bins, -0.01024, -0.00139, -0.00091, -0.00056, -0.00025, 4e-05, 0.00031, 0.00061, 0.00099, 0.00147, 0.01131
n_per_reg, 10310, eta, 1.5, 1.75,  pT, 5.0, 7.0,	    q*d0_bins, -0.01498, -0.00334, -0.00203, -0.00123, -0.00058, 1e-05, 0.00061, 0.00126, 0.00208, 0.00339, 0.01497
